"도서명";"책표지";"글쓴이";"도서번호";"출판사";"출판일";"도서상태";"도서갯수";"대출여부";"대출일";"반납일";"도서가격";"페이지";"줄거리";"메모"
"서울의 맛집";"";"블루리본 서베이";12100;"BR미디어";"2021.10.11";"이상없음";0;"대출 가능";0;"";16300;416;"";"〈블루리본서베이: 서울의 맛집〉은 2005년 첫 번째 평가서를 선보인 이래 국내 최초로 다수의 의견을 수렴하는 방식을 채택하였으며, 객관적인 데이터를 토대로 대다수에게 공감을 줄 수 있는 결과를 제공하고 있다. 자체 홈페이지(www.blueR.co.kr)를 통해서 일반인이 참여하는 평가가 이루어지고 있으며 이러한 평가 결과는 점수가 아닌 리본의 개수로 표시된다. 2019년 판부터 전문가 평가단의 최종 평가가 사라지고 독자의 평가만으로 이루어진다."
"리얼 제주";"";"김태연";55021;"한빛라이프";"2021.06.01";"이상없음";0;"대출 중";0;"";15300;352;"";"따뜻한 봄날, 흩날리는 벚꽃과 노란 유채꽃 흐드러진 들판에서 인생샷을 찍어 본 적 있나요?
시원한 여름, 하얀 백사장과 어우러진 에메랄드빛 바다에 풍덩 몸을 맡겨봐도 좋아요.
낭만적인 가을, 몽환적인 핑크뮬리와 억새 물결 속에서 감성 충전 제대로 할 수 있고요.
하얀 겨울 눈꽃 핀 한라산 등반은 진짜 제주를 느끼기에 최고입니다."
"떨림과 울림";"";"김상욱";55084;"동아시아";"2018.11.07";"이상없음";0;"대출 중";0;"";13500;272;"";"‘물리’라는 과학의 언어를 통해 세계를 읽고 생각하는 또 다른 방법을 안내하는 『떨림과 울림』. 빛, 시공간, 원자, 전자부터 최소작용의 원리, 카오스, 엔트로피, 양자역학, 단진동까지 물리에서 다루는 핵심 개념들을 차분히 소개하면서 물리라는 새로운 언어를 통해 우리 존재와 삶, 죽음의 문제부터 타자와의 관계, 세계에 관한 생각까지 새로운 틀에서 바라볼 수 있게 안내한다."
"선량한 차별주의자";"";"김지혜";55401;"창비";"2019.07.17";"이상없음";0;"대출 중";0;"";13500;244;"";"은밀하고 사소하며 일상적이고 자연스럽게 벌어지는 일들 속에서 선량한 우리가 놓치고 있던 차별과 혐오의 순간을 날카롭게 포착하는 『선량한 차별주의자』. 차별의 사각지대에 놓인 이들을 직접 찾아가는 현장 활동가이자, 통계학·사회복지학·법학을 넘나드는 통합적인 시각을 바탕으로 국내의 열악한 혐오·차별 문제의 이론적 토대를 구축하는 데 전념해온 연구자인 김지혜 교수가 인간 심리에 대한 국내외의 최신 연구, 현장에서 기록한 생생한 사례, 학생들과 꾸준히 진행해온 토론수업과 전문가들의 학술포럼에서의 다양한 논쟁을 버무려 우리 일상에 숨겨진 혐오와 차별의 순간들을 생생하게 담아냈다."
"나의 문화유산답가기 365일";"";"유홍준";56984;"창비";"2021.10.29";"이상없음";0;"대출 중";0;"";15300;344;"";"『나의 문화유산답사기 365일』은 우리 시대 최고의 기행서 『나의 문화유산답사기』를 간추려 여행객들이 활용하기 좋게 편집한 다이어리 겸 여행서다. 유홍준 교수가 직접 『답사기』에서 엄선한 24곳의 명승지 소개와 사진을 월별로 수록했다."
"장면들";"";"손석희";78054;"창비";"2021.11.12";"이상없음";0;"대출 중";0;"";16650;392;"";"손석희가 드디어 독자를 만난다. JTBC 「뉴스룸」 앵커석에서 내려온 지 1년 반 만에 저널리즘 에세이로 찾아왔다. 손석희 앵커는 그동안 「뉴스룸」 「100분토론」 「손석희의 시선집중」 등 대표적인 뉴스·시사 프로그램을 진행하며 10년 이상 가장 신뢰받는 언론인으로 손꼽혀왔다. 특히 JTBC 보도부문 사장으로 자리를 옮긴 2013년 이후 「뉴스룸」을 중심으로 세월호참사와 국정농단 등 한국사회를 뒤흔든 사건의 핵심 보도를 주도하면서 크게 주목받았다. "
"7일,168시간";"";"젠 예거";102506;"스노우폭스북스";"2019.07.09";"이상없음";0;"대출 가능";0;"";14200;280;"";" 인간은 누구나 한정된 시간을 살기에 시간 관리는 삶의 질을 결정하고, 특히 직장 생활의 성패를 좌우한다. 저자는 이처럼 한정된 시간을 최대치로 활용할 수 있는 보편적 시간 관리 법칙을 이 책에서 자세하게 소개한다."
"직장인을 위한 실무 엑셀";"";"선양미";105809;"길벗";"2019.03.04";"이상없음";0;"대출 가능";0;"";18900;492;"";"『직장인을 위한 실무 엑셀』은 엑셀 모든 버전에서 사용 가능한 실무 예제로, 업무를 빠르게 처리할 수 있는 필수 팁만 쏙쏙 뽑아 알려주는 책이다. 실무에서 가장 유용한 함수와 분석 기능 뿐만 아니라 분석 결과를 가장 효과적으로 보이게 할 수 있는 표와 차트 활용법을 알려준다."
"디지털이다";"";"니콜라스 네그로폰테";108506;"커뮤니케이션북스";"1999.03.20";"이상없음";0;"대출 가능";0;"";8820;242;"";"종이의 시대는 가고 디지털의 시대가 몰려온다.디지털이 우리사회 전반에서 주는 의미가 그리 단순한 것 같진 않다. 책을 읽고 있노라면 디지털이 일상생활에 까지 파고 들어 변화와 영향을 끼치고 있다는 사실을 발견하고 놀라게 되는데.. 앞으로의 미래사회에는 어떤 파급효과를 미칠 것이지 그 미래를 미리 제시했다."
"이상한 정상가족";"";"김희경";111666;"동아시아";"2017.11.21";"이상없음";0;"대출 가능";0;"";13500;284;"";"그동안 가족주의와 정상가족 이데올로기에 대한 비판은 여성주의적 입장에서 많이 제기되어왔지만 『이상한 정상가족』에서 저자는 가족 내에서 가장 취약한 사람인 아이를 중심에 두고 우리의 가족, 가족주의가 불러오는 세상의 문제들을 바라보고자 한다."
